time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__16-42-11_630,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399872;alt=252.36,LocationGlobalRelative:lat=41.5194343;lon=-86.2399872;alt=2.29,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0317012481391;yaw=-3.08873319626;roll=-0.0155782103539,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.266;current=1.0;level=90,True,0.325703974,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_720,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0321488715708;yaw=-3.08878517151;roll=-0.015600793995,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=1.0;level=90,True,0.410676537,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_820,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0321488715708;yaw=-3.08878517151;roll=-0.015600793995,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=1.0;level=90,True,0.516517446998,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_920,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399868;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399868;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322180017829;yaw=-3.08884644508;roll=-0.0156254321337,[0.04; 0.0; 0.01],GPSInfo:fix=3;num_sat=12,0.0,0.0,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.99;level=90,True,0.617841040999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_020,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399868;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399868;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322180017829;yaw=-3.08884644508;roll=-0.0156254321337,[0.04; 0.0; 0.01],GPSInfo:fix=3;num_sat=12,0.0,0.0,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.99;level=90,True,0.721953462,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_120,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.2399869;alt=252.41,LocationGlobalRelative:lat=41.5194344;lon=-86.2399869;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322215482593;yaw=-3.0888531208;roll=-0.0157071296126,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0,0.0,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.823182295999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_220,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.2399869;alt=252.41,LocationGlobalRelative:lat=41.5194344;lon=-86.2399869;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322215482593;yaw=-3.0888531208;roll=-0.0157071296126,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.926025822999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_320,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.2399869;alt=252.41,LocationGlobalRelative:lat=41.5194344;lon=-86.2399869;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322215482593;yaw=-3.0888531208;roll=-0.0157071296126,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,1.028328277,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_421,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.239987;alt=252.4,LocationGlobalRelative:lat=41.5194344;lon=-86.239987;alt=2.33,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322619229555;yaw=-3.08882308006;roll=-0.0158984512091,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.101076163999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_520,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.239987;alt=252.4,LocationGlobalRelative:lat=41.5194344;lon=-86.239987;alt=2.33,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0322619229555;yaw=-3.08882308006;roll=-0.0158984512091,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.206793490999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_621,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.239987;alt=252.39,LocationGlobalRelative:lat=41.5194344;lon=-86.239987;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0324614793062;yaw=-3.08887386322;roll=-0.0158878006041,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.258583082999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_720,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.239987;alt=252.39,LocationGlobalRelative:lat=41.5194344;lon=-86.239987;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0324614793062;yaw=-3.08887386322;roll=-0.0158878006041,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.36466917,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_820,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.239987;alt=252.39,LocationGlobalRelative:lat=41.5194344;lon=-86.239987;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0324614793062;yaw=-3.08887386322;roll=-0.0158878006041,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.466407507,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-13_920,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.239987;alt=252.39,LocationGlobalRelative:lat=41.5194343;lon=-86.239987;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0324904881418;yaw=-3.08882021904;roll=-0.0158901996911,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.567407802,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_020,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.239987;alt=252.39,LocationGlobalRelative:lat=41.5194343;lon=-86.239987;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0324904881418;yaw=-3.08882021904;roll=-0.0158901996911,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.67130448,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_121,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.239987;alt=252.39,LocationGlobalRelative:lat=41.5194343;lon=-86.239987;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0324904881418;yaw=-3.08882021904;roll=-0.0158901996911,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.773244169999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_221,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.239987;alt=252.38,LocationGlobalRelative:lat=41.5194344;lon=-86.239987;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0327051505446;yaw=-3.08877587318;roll=-0.0159208960831,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.264;current=0.96;level=90,True,0.881195487,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_321,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326452180743;yaw=-3.08877873421;roll=-0.0159511193633,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.264;current=0.98;level=90,True,0.984683921999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_421,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326452180743;yaw=-3.08877873421;roll=-0.0159511193633,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.264;current=0.98;level=90,True,0.107557744001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_521,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326452180743;yaw=-3.08877873421;roll=-0.0159511193633,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.264;current=0.98;level=90,True,0.210666868001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_620,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.2399872;alt=252.37,LocationGlobalRelative:lat=41.5194344;lon=-86.2399872;alt=2.3,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325948782265;yaw=-3.08870816231;roll=-0.0161386430264,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.264;current=0.97;level=90,True,0.313390238,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_720,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194344;lon=-86.2399872;alt=252.37,LocationGlobalRelative:lat=41.5194344;lon=-86.2399872;alt=2.3,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325948782265;yaw=-3.08870816231;roll=-0.0161386430264,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.264;current=0.97;level=90,True,0.421484390001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_828,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326845534146;yaw=-3.08860182762;roll=-0.0162182040513,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.99;level=90,True,0.523466773,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-14_921,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326845534146;yaw=-3.08860182762;roll=-0.0162182040513,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.99;level=90,True,0.584139385001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_021,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326845534146;yaw=-3.08860182762;roll=-0.0162182040513,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.99;level=90,True,0.686274649999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_121,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399871;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399871;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326845534146;yaw=-3.08860182762;roll=-0.0162182040513,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.99;level=90,True,0.787904598001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_221,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399872;alt=252.39,LocationGlobalRelative:lat=41.5194343;lon=-86.2399872;alt=2.32,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0326266922057;yaw=-3.08859634399;roll=-0.0161614902318,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=1.0;level=90,True,0.893701188999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_321,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399872;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399872;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325793772936;yaw=-3.08855175972;roll=-0.0161409024149,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.996027019,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_421,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399872;alt=252.38,LocationGlobalRelative:lat=41.5194343;lon=-86.2399872;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325793772936;yaw=-3.08855175972;roll=-0.0161409024149,[0.03; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.0510223590009,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_520,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399873;alt=252.38,LocationGlobalRelative:lat=41.5194345;lon=-86.2399873;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325369089842;yaw=-3.08862066269;roll=-0.0160123966634,[0.03; 0.01; 0.0],GPSInfo:fix=3;num_sat=12,0.0,0.0,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.154875517999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_620,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399873;alt=252.38,LocationGlobalRelative:lat=41.5194345;lon=-86.2399873;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325369089842;yaw=-3.08862066269;roll=-0.0160123966634,[0.03; 0.01; 0.0],GPSInfo:fix=3;num_sat=12,0.0,0.0,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.262511008001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-15_722,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399873;alt=252.38,LocationGlobalRelative:lat=41.5194345;lon=-86.2399873;alt=2.31,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0325369089842;yaw=-3.08862066269;roll=-0.0160123966634,[0.03; 0.01; 0.0],GPSInfo:fix=3;num_sat=12,0.0,0.0,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.97;level=90,True,0.370697815,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
