time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-54-47_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.1375632286071777; 'x': 0.012449625879526138; 'z': 0.012054809369146824},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401323; 'x': 41.5194375; 'z': 0.22},{'y': -0.07; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401326; 'x': 41.5194351; 'z': 0.18},{'y': -0.04; 'x': 0.02; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401326; 'x': 41.5194351; 'z': 0.18},{'y': -0.04; 'x': 0.02; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.1401772499084473; 'x': 0.014056511223316193; 'z': 0.011616329662501812},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401326; 'x': 41.5194351; 'z': 0.18},{'y': -0.04; 'x': 0.02; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.1401772499084473; 'x': 0.014056511223316193; 'z': 0.011616329662501812},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401326; 'x': 41.5194351; 'z': 0.18},{'y': -0.04; 'x': 0.02; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.10770329088,{'y': 3.1401772499084473; 'x': 0.014056511223316193; 'z': 0.011616329662501812},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10770329088,PHYS_2,{'y': -86.2401326; 'x': 41.5194351; 'z': 0.18},{'y': -0.04; 'x': 0.02; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.10770329088,{'y': 3.1401772499084473; 'x': 0.014056511223316193; 'z': 0.011616329662501812},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10770329088,PHYS_2,{'y': -86.2401326; 'x': 41.5194351; 'z': 0.18},{'y': -0.04; 'x': 0.02; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_680,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.10770329088,{'y': 3.1401772499084473; 'x': 0.014056511223316193; 'z': 0.011616329662501812},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10770329088,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.10770329088,{'y': 3.1401772499084473; 'x': 0.014056511223316193; 'z': 0.011616329662501812},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.10770329088,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-49_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_184,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.14056658744812; 'x': 0.01333862915635109; 'z': 0.011236839927732944},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194348; 'z': 0.19},{'y': -0.03; 'x': 0.04; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-50_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0905538499355,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0905538499355,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-50_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-50_980,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-51_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-51_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-51_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-51_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-51_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401327; 'x': 41.5194342; 'z': 0.21},{'y': -0.03; 'x': 0.03; 'z': 0.01},179,ALT_HOLD
2017_07_18__14-54-51_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': 3.1409389972686768; 'x': 0.012483308091759682; 'z': 0.010972701944410801},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-51_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-51_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-51_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-51_980,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-52_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-52_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-52_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194333; 'z': 0.24},{'y': -0.02; 'x': 0.01; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-52_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': 3.1413748264312744; 'x': 0.011438265442848206; 'z': 0.010597956366837025},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401325; 'x': 41.5194325; 'z': 0.25},{'y': -0.02; 'x': 0.0; 'z': 0.03},179,ALT_HOLD
2017_07_18__14-54-52_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.092195443809,{'y': -3.1415534019470215; 'x': 0.010705338791012764; 'z': 0.010649594478309155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.092195443809,PHYS_2,{'y': -86.2401325; 'x': 41.5194325; 'z': 0.25},{'y': -0.02; 'x': 0.0; 'z': 0.03},180,ALT_HOLD
2017_07_18__14-54-52_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.092195443809,{'y': -3.1415534019470215; 'x': 0.010705338791012764; 'z': 0.010649594478309155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.092195443809,PHYS_2,{'y': -86.2401325; 'x': 41.5194325; 'z': 0.25},{'y': -0.02; 'x': 0.0; 'z': 0.03},180,ALT_HOLD
2017_07_18__14-54-52_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.092195443809,{'y': -3.1415534019470215; 'x': 0.010705338791012764; 'z': 0.010649594478309155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.092195443809,PHYS_2,{'y': -86.2401325; 'x': 41.5194325; 'z': 0.25},{'y': -0.02; 'x': 0.0; 'z': 0.03},180,ALT_HOLD
2017_07_18__14-54-52_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.092195443809,{'y': -3.1415534019470215; 'x': 0.010705338791012764; 'z': 0.010649594478309155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.092195443809,PHYS_2,{'y': -86.2401325; 'x': 41.5194325; 'z': 0.25},{'y': -0.02; 'x': 0.0; 'z': 0.03},180,ALT_HOLD
2017_07_18__14-54-52_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.092195443809,{'y': -3.1415534019470215; 'x': 0.010705338791012764; 'z': 0.010649594478309155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.092195443809,PHYS_2,{'y': -86.2401323; 'x': 41.5194319; 'z': 0.25},{'y': -0.01; 'x': -0.01; 'z': 0.02},180,ALT_HOLD
