time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-04-08_668,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194275;lon=-86.2401234;alt=250.61,LocationGlobalRelative:lat=41.5194275;lon=-86.2401234;alt=0.13,LocationLocal:north=-18.3672866821;east=-25.7041549683;down=-5.44102334976,Attitude:pitch=0.0102332625538;yaw=-3.10418725014;roll=0.00848526787013,[-0.02; 0.0; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.615783278,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_168,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.307031972,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_268,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.410312526,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_368,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.514154089,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_468,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.61629029,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_568,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.717665996,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_668,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.818691611,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_768,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.91986593,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_868,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0504529099999,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_968,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194325;lon=-86.2401236;alt=250.66,LocationGlobalRelative:lat=41.5194325;lon=-86.2401236;alt=0.18,LocationLocal:north=-17.8006381989;east=-25.7200508118;down=-5.49165725708,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.1; -0.04; -0.03],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.151663922,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_068,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.254728643,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_168,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.35736285,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_268,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.460164046,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_368,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.017041163519;yaw=-3.101583004;roll=0.0112875001505,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.563067474,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_468,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.664763627,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_568,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.765828684,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_669,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.869071167,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_768,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.970550443,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_868,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.071924432,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-11_969,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.173497746,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_068,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0520722630008,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_168,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194328;lon=-86.2401234;alt=250.65,LocationGlobalRelative:lat=41.5194328;lon=-86.2401234;alt=0.17,LocationLocal:north=-17.7744121552;east=-25.7004089355;down=-5.48501205444,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.04; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.153741333001,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_268,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.2401242;alt=250.63,LocationGlobalRelative:lat=41.519433;lon=-86.2401242;alt=0.15,LocationLocal:north=-17.7482509613;east=-25.7688064575;down=-5.46107387543,Attitude:pitch=0.0154929365963;yaw=-3.10177707672;roll=0.0106901330873,[0.09; -0.07; -0.02],GPSInfo:fix=4;num_sat=11,0.130384042859,0.130384042859,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.257869151001,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_368,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.2401242;alt=250.63,LocationGlobalRelative:lat=41.519433;lon=-86.2401242;alt=0.15,LocationLocal:north=-17.7482509613;east=-25.7688064575;down=-5.46107387543,Attitude:pitch=0.0143665019423;yaw=-3.10209798813;roll=0.0109428605065,[0.09; -0.07; -0.02],GPSInfo:fix=4;num_sat=11,0.133416637778,0.133416637778,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.360036729,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_469,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.2401242;alt=250.63,LocationGlobalRelative:lat=41.519433;lon=-86.2401242;alt=0.15,LocationLocal:north=-17.7482509613;east=-25.7688064575;down=-5.46107387543,Attitude:pitch=0.0143665019423;yaw=-3.10209798813;roll=0.0109428605065,[0.09; -0.07; -0.02],GPSInfo:fix=4;num_sat=11,0.133416637778,0.133416637778,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0507522990001,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_568,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.2401242;alt=250.63,LocationGlobalRelative:lat=41.519433;lon=-86.2401242;alt=0.15,LocationLocal:north=-17.7482509613;east=-25.7688064575;down=-5.46107387543,Attitude:pitch=0.0143665019423;yaw=-3.10209798813;roll=0.0109428605065,[0.09; -0.07; -0.02],GPSInfo:fix=4;num_sat=11,0.133416637778,0.133416637778,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.152617991,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-12_668,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.2401242;alt=250.63,LocationGlobalRelative:lat=41.519433;lon=-86.2401242;alt=0.15,LocationLocal:north=-17.7482509613;east=-25.7688064575;down=-5.46107387543,Attitude:pitch=0.0143665019423;yaw=-3.10209798813;roll=0.0109428605065,[0.09; -0.07; -0.02],GPSInfo:fix=4;num_sat=11,0.133416637778,0.133416637778,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.254284154999,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
