time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-20-49_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.104403063655,{'y': -2.980163812637329; 'x': 0.023528529331088066; 'z': 0.0005901278927922249},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.104403063655,PHYS_2,{'y': -86.2401238; 'x': 41.5194205; 'z': 1.44},{'y': 0.02; 'x': 0.1; 'z': 0.01},189,ALT_HOLD
2017_07_18__15-20-51_179,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-51_279,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-51_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-51_479,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-51_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-51_679,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-51_779,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-51_880,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-51_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_079,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_180,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_280,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_480,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.5194155; 'z': 1.45},{'y': 0.03; 'x': 0.0; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.973628520965576; 'x': 0.019289987161755562; 'z': -0.0006317454390227795},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_879,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.180277556181,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.180277556181,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-52_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_084,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_180,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_280,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_380,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_480,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401258; 'x': 41.519416; 'z': 1.45},{'y': 0.01; 'x': 0.04; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.358468949795,{'y': -2.9733378887176514; 'x': 0.020656192675232887; 'z': 0.00026765279471874237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.358468949795,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_880,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-53_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_080,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_179,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_280,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_379,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_479,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_780,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_880,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-54_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401253; 'x': 41.519416; 'z': 1.43},{'y': 0.02; 'x': 0.05; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_079,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0583095140755,{'y': -2.973435401916504; 'x': 0.02073025517165661; 'z': 0.0002399701625108719},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0583095140755,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_179,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_280,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_380,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_480,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_580,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_680,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401254; 'x': 41.5194162; 'z': 1.41},{'y': 0.0; 'x': 0.07; 'z': -0.02},189,ALT_HOLD
2017_07_18__15-20-55_779,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0894427150488,{'y': -2.9734950065612793; 'x': 0.02128974162042141; 'z': 0.001020980067551136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0894427150488,PHYS_2,{'y': -86.2401252; 'x': 41.5194168; 'z': 1.41},{'y': 0.0; 'x': 0.1; 'z': -0.01},189,ALT_HOLD
