time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-23-03_009,STANDBY,{'current': None; 'voltage': 22.24; 'level': None},0.0707106739283,{'y': -2.2231147289276123; 'x': 0.058644503355026245; 'z': 0.007204553112387657},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0707106739283,PHYS_12,{'y': -86.2406092; 'x': 41.5194005; 'z': -1.51},{'y': 0.0; 'x': -0.05; 'z': -0.07},232,STABILIZE
2017_07_18__14-23-04_109,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_209,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_309,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_409,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_509,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_609,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_709,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_809,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_909,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-05_009,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-05_109,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-05_209,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-05_309,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-05_409,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406091; 'x': 41.5193997; 'z': -2.14},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-05_509,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-05_609,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.00999999977648,{'y': -2.224907875061035; 'x': 0.05787055939435959; 'z': 0.006973758805543184},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.00999999977648,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-05_709,STANDBY,{'current': None; 'voltage': 22.23; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-05_809,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-05_909,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_009,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_109,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_209,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_309,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_409,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406093; 'x': 41.5194005; 'z': -2.16},{'y': -0.02; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_509,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225271701812744; 'x': 0.058004461228847504; 'z': 0.006671239621937275},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_609,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.0509901940823,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0509901940823,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_709,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_809,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-06_909,STANDBY,{'current': None; 'voltage': 22.228; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_009,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_109,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_209,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_309,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_409,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406094; 'x': 41.5194011; 'z': -2.18},{'y': 0.0; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_509,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_609,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_709,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.078102491796,{'y': -2.225416421890259; 'x': 0.058242037892341614; 'z': 0.006358165293931961},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.078102491796,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_809,STANDBY,{'current': None; 'voltage': 22.226; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-07_909,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_009,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_109,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_209,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_309,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_409,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.225525140762329; 'x': 0.05800089240074158; 'z': 0.006628552917391062},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406099; 'x': 41.5194017; 'z': -2.2},{'y': -0.01; 'x': 0.0; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_509,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.031622774899,{'y': -2.2257094383239746; 'x': 0.0575142577290535; 'z': 0.006461428944021463},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.031622774899,PHYS_12,{'y': -86.2406106; 'x': 41.519402; 'z': -2.25},{'y': -0.03; 'x': -0.02; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_609,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.0799999982119,{'y': -2.2257094383239746; 'x': 0.0575142577290535; 'z': 0.006461428944021463},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0799999982119,PHYS_12,{'y': -86.2406106; 'x': 41.519402; 'z': -2.25},{'y': -0.03; 'x': -0.02; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_709,STANDBY,{'current': None; 'voltage': 22.229; 'level': None},0.0799999982119,{'y': -2.2257094383239746; 'x': 0.0575142577290535; 'z': 0.006461428944021463},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0799999982119,PHYS_12,{'y': -86.2406106; 'x': 41.519402; 'z': -2.25},{'y': -0.03; 'x': -0.02; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_809,STANDBY,{'current': None; 'voltage': 22.236; 'level': None},0.0799999982119,{'y': -2.2257094383239746; 'x': 0.0575142577290535; 'z': 0.006461428944021463},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0799999982119,PHYS_12,{'y': -86.2406106; 'x': 41.519402; 'z': -2.25},{'y': -0.03; 'x': -0.02; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-08_909,STANDBY,{'current': None; 'voltage': 22.236; 'level': None},0.0799999982119,{'y': -2.2257094383239746; 'x': 0.0575142577290535; 'z': 0.006461428944021463},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0799999982119,PHYS_12,{'y': -86.2406106; 'x': 41.519402; 'z': -2.25},{'y': -0.03; 'x': -0.02; 'z': -0.07},232,ALT_HOLD
2017_07_18__14-23-09_009,STANDBY,{'current': None; 'voltage': 22.236; 'level': None},0.0799999982119,{'y': -2.2257094383239746; 'x': 0.0575142577290535; 'z': 0.006461428944021463},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0799999982119,PHYS_12,{'y': -86.2406106; 'x': 41.519402; 'z': -2.25},{'y': -0.03; 'x': -0.02; 'z': -0.07},232,ALT_HOLD
