time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-24-07_820,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.9684064388275146; 'x': 0.02617846615612507; 'z': 0.00515387486666441},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401239; 'x': 41.5194318; 'z': 0.23},{'y': 0.0; 'x': 0.1; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_919,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_021,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_120,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_219,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_320,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_419,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_519,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_619,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_720,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_819,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-09_919,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_019,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_119,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_219,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_321,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.094868324697,{'y': -2.9594459533691406; 'x': 0.022181721404194832; 'z': 0.004151570610702038},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.094868324697,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_419,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_519,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_619,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_719,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_819,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-10_919,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-11_019,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-11_119,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-11_219,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401255; 'x': 41.5194336; 'z': 0.2},{'y': -0.03; 'x': 0.11; 'z': -0.05},190,GUIDED
2017_07_18__15-24-11_319,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-11_419,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-11_519,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-11_619,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0509901940823,{'y': -2.95967698097229; 'x': 0.021774718537926674; 'z': 0.003555615432560444},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0509901940823,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-11_720,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-11_819,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-11_919,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_019,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_119,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_219,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401253; 'x': 41.5194337; 'z': 0.19},{'y': 0.0; 'x': 0.06; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_319,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_419,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0806225761771,{'y': -2.959871530532837; 'x': 0.0222072321921587; 'z': 0.003199952654540539},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0806225761771,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_519,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_619,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_719,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_819,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-12_919,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-13_020,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-13_119,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.2401254; 'x': 41.5194341; 'z': 0.18},{'y': 0.0; 'x': 0.07; 'z': -0.04},190,GUIDED
2017_07_18__15-24-13_219,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960082769393921; 'x': 0.022760415449738503; 'z': 0.00364884827286005},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.240125; 'x': 41.5194333; 'z': 0.16},{'y': 0.02; 'x': 0.02; 'z': -0.03},190,GUIDED
2017_07_18__15-24-13_319,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960358142852783; 'x': 0.021864740177989006; 'z': 0.0031635621562600136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.240125; 'x': 41.5194333; 'z': 0.16},{'y': 0.02; 'x': 0.02; 'z': -0.03},190,GUIDED
2017_07_18__15-24-13_420,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960358142852783; 'x': 0.021864740177989006; 'z': 0.0031635621562600136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.240125; 'x': 41.5194333; 'z': 0.16},{'y': 0.02; 'x': 0.02; 'z': -0.03},190,GUIDED
2017_07_18__15-24-13_519,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960358142852783; 'x': 0.021864740177989006; 'z': 0.0031635621562600136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.240125; 'x': 41.5194333; 'z': 0.16},{'y': 0.02; 'x': 0.02; 'z': -0.03},190,GUIDED
2017_07_18__15-24-13_619,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960358142852783; 'x': 0.021864740177989006; 'z': 0.0031635621562600136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.240125; 'x': 41.5194333; 'z': 0.16},{'y': 0.02; 'x': 0.02; 'z': -0.03},190,GUIDED
2017_07_18__15-24-13_720,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.100498750806,{'y': -2.960358142852783; 'x': 0.021864740177989006; 'z': 0.0031635621562600136},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.100498750806,PHYS_2,{'y': -86.240125; 'x': 41.5194333; 'z': 0.16},{'y': 0.02; 'x': 0.02; 'z': -0.03},190,GUIDED
