time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__16-42-11_621,STANDBY,{'current': 1.0; 'voltage': 16.266; 'level': 90},0.0299999993294,{'y': -3.088733196258545; 'x': -0.03170124813914299; 'z': -0.015578210353851318},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399872; 'x': 41.5194343; 'z': 2.29},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_920,STANDBY,{'current': 0.99; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088846445083618; 'x': -0.032218001782894135; 'z': -0.01562543213367462},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399868; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.01},183,LOITER
2017_07_18__16-42-13_020,STANDBY,{'current': 0.99; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088846445083618; 'x': -0.032218001782894135; 'z': -0.01562543213367462},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399868; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.01},183,LOITER
2017_07_18__16-42-13_120,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088853120803833; 'x': -0.03222154825925827; 'z': -0.01570712961256504},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399869; 'x': 41.5194344; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_220,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.0299999993294,{'y': -3.088853120803833; 'x': -0.03222154825925827; 'z': -0.01570712961256504},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399869; 'x': 41.5194344; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_320,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.0299999993294,{'y': -3.088853120803833; 'x': -0.03222154825925827; 'z': -0.01570712961256504},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399869; 'x': 41.5194344; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_420,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088823080062866; 'x': -0.032261922955513; 'z': -0.0158984512090683},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.239987; 'x': 41.5194344; 'z': 2.33},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_520,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088823080062866; 'x': -0.032261922955513; 'z': -0.0158984512090683},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.239987; 'x': 41.5194344; 'z': 2.33},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_620,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088873863220215; 'x': -0.03246147930622101; 'z': -0.015887800604104996},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.239987; 'x': 41.5194344; 'z': 2.32},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_720,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088873863220215; 'x': -0.03246147930622101; 'z': -0.015887800604104996},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.239987; 'x': 41.5194344; 'z': 2.32},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_820,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088873863220215; 'x': -0.03246147930622101; 'z': -0.015887800604104996},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.239987; 'x': 41.5194344; 'z': 2.32},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-13_920,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088820219039917; 'x': -0.03249048814177513; 'z': -0.015890199691057205},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.239987; 'x': 41.5194343; 'z': 2.32},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_020,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088820219039917; 'x': -0.03249048814177513; 'z': -0.015890199691057205},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.239987; 'x': 41.5194343; 'z': 2.32},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_120,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088820219039917; 'x': -0.03249048814177513; 'z': -0.015890199691057205},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.239987; 'x': 41.5194343; 'z': 2.32},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_220,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.0299999993294,{'y': -3.088775873184204; 'x': -0.0327051505446434; 'z': -0.01592089608311653},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.239987; 'x': 41.5194344; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_320,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.0299999993294,{'y': -3.0887787342071533; 'x': -0.03264521807432175; 'z': -0.015951119363307953},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_420,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.0299999993294,{'y': -3.0887787342071533; 'x': -0.03264521807432175; 'z': -0.015951119363307953},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_520,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.0299999993294,{'y': -3.0887787342071533; 'x': -0.03264521807432175; 'z': -0.015951119363307953},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_620,STANDBY,{'current': 0.97; 'voltage': 16.264; 'level': 90},0.019999999553,{'y': -3.0887081623077393; 'x': -0.03259487822651863; 'z': -0.01613864302635193},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399872; 'x': 41.5194344; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_720,STANDBY,{'current': 0.97; 'voltage': 16.264; 'level': 90},0.019999999553,{'y': -3.0887081623077393; 'x': -0.03259487822651863; 'z': -0.01613864302635193},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399872; 'x': 41.5194344; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_824,STANDBY,{'current': 0.99; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.08860182762146; 'x': -0.032684553414583206; 'z': -0.01621820405125618},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-14_920,STANDBY,{'current': 0.99; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.08860182762146; 'x': -0.032684553414583206; 'z': -0.01621820405125618},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_020,STANDBY,{'current': 0.99; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.08860182762146; 'x': -0.032684553414583206; 'z': -0.01621820405125618},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_120,STANDBY,{'current': 0.99; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.08860182762146; 'x': -0.032684553414583206; 'z': -0.01621820405125618},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399871; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_220,STANDBY,{'current': 1.0; 'voltage': 16.265; 'level': 90},0.0299999993294,{'y': -3.0885963439941406; 'x': -0.032626692205667496; 'z': -0.016161490231752396},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399872; 'x': 41.5194343; 'z': 2.32},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_320,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.0885517597198486; 'x': -0.03257937729358673; 'z': -0.016140902414917946},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399872; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_420,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.0885517597198486; 'x': -0.03257937729358673; 'z': -0.016140902414917946},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399872; 'x': 41.5194343; 'z': 2.31},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_520,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088620662689209; 'x': -0.032536908984184265; 'z': -0.016012396663427353},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399873; 'x': 41.5194345; 'z': 2.31},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_620,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088620662689209; 'x': -0.032536908984184265; 'z': -0.016012396663427353},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399873; 'x': 41.5194345; 'z': 2.31},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_721,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088620662689209; 'x': -0.032536908984184265; 'z': -0.016012396663427353},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399873; 'x': 41.5194345; 'z': 2.31},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_820,STANDBY,{'current': 0.97; 'voltage': 16.265; 'level': 90},0.0,{'y': -3.088620662689209; 'x': -0.032536908984184265; 'z': -0.016012396663427353},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399873; 'x': 41.5194345; 'z': 2.31},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-15_920,STANDBY,{'current': 0.97; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.08847713470459; 'x': -0.032348304986953735; 'z': -0.01593097299337387},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194346; 'z': 2.31},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_020,STANDBY,{'current': 0.97; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.08847713470459; 'x': -0.032348304986953735; 'z': -0.01593097299337387},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194346; 'z': 2.31},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_120,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.0884227752685547; 'x': -0.032332535833120346; 'z': -0.015810616314411163},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194347; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_220,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.0884227752685547; 'x': -0.032332535833120346; 'z': -0.015810616314411163},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194347; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_320,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.088409423828125; 'x': -0.032282162457704544; 'z': -0.015711866319179535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194347; 'z': 2.3},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_420,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.088409423828125; 'x': -0.032282162457704544; 'z': -0.015711866319179535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194347; 'z': 2.3},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_520,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.088590383529663; 'x': -0.032352834939956665; 'z': -0.015718523412942886},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194348; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_620,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.088590383529663; 'x': -0.032352834939956665; 'z': -0.015718523412942886},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194348; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_720,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.00999999977648,{'y': -3.088590383529663; 'x': -0.032352834939956665; 'z': -0.015718523412942886},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399873; 'x': 41.5194348; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_820,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.019999999553,{'y': -3.0887222290039062; 'x': -0.03217199072241783; 'z': -0.015582870692014694},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399873; 'x': 41.5194348; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-16_920,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.019999999553,{'y': -3.0887222290039062; 'x': -0.03217199072241783; 'z': -0.015582870692014694},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399873; 'x': 41.5194348; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-17_020,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.019999999553,{'y': -3.0887222290039062; 'x': -0.03217199072241783; 'z': -0.015582870692014694},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399873; 'x': 41.5194348; 'z': 2.3},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-17_120,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.0399999991059,{'y': -3.0887980461120605; 'x': -0.03231794387102127; 'z': -0.01544191874563694},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0399999991059,PHYS_1,{'y': -86.2399872; 'x': 41.5194348; 'z': 2.28},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-17_220,STANDBY,{'current': 0.98; 'voltage': 16.264; 'level': 90},0.0399999991059,{'y': -3.0887980461120605; 'x': -0.03231794387102127; 'z': -0.01544191874563694},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0399999991059,PHYS_1,{'y': -86.2399872; 'x': 41.5194348; 'z': 2.28},{'y': 0.0; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-17_320,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.0,{'y': -3.088752031326294; 'x': -0.03243762627243996; 'z': -0.01535673439502716},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399871; 'x': 41.5194347; 'z': 2.29},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-17_420,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.0,{'y': -3.088752031326294; 'x': -0.03243762627243996; 'z': -0.01535673439502716},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399871; 'x': 41.5194347; 'z': 2.29},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
2017_07_18__16-42-17_520,STANDBY,{'current': 0.96; 'voltage': 16.264; 'level': 90},0.0,{'y': -3.088752031326294; 'x': -0.03243762627243996; 'z': -0.01535673439502716},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0,PHYS_1,{'y': -86.2399871; 'x': 41.5194347; 'z': 2.29},{'y': 0.01; 'x': 0.03; 'z': 0.0},183,LOITER
