time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-01-10_091,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519432;lon=-86.2401402;alt=249.89,LocationGlobalRelative:lat=41.519432;lon=-86.2401402;alt=-0.59,LocationLocal:north=-17.8560085297;east=-27.0981349945;down=-5.53496742249,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.01; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.543894464,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_191,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194321;lon=-86.2401401;alt=249.89,LocationGlobalRelative:lat=41.5194321;lon=-86.2401401;alt=-0.59,LocationLocal:north=-17.8475227356;east=-27.0961685181;down=-5.53390550613,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.06; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.25619799,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_291,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194321;lon=-86.2401401;alt=249.89,LocationGlobalRelative:lat=41.5194321;lon=-86.2401401;alt=-0.59,LocationLocal:north=-17.8475227356;east=-27.0961685181;down=-5.53390550613,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.06; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.357795874,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_391,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194321;lon=-86.2401401;alt=249.89,LocationGlobalRelative:lat=41.5194321;lon=-86.2401401;alt=-0.59,LocationLocal:north=-17.8475227356;east=-27.0961685181;down=-5.53390550613,Attitude:pitch=0.013640679419;yaw=-3.10829520226;roll=0.0104562388733,[0.06; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.031622774899,0.031622774899,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.409568774,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_491,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194321;lon=-86.2401401;alt=249.89,LocationGlobalRelative:lat=41.5194321;lon=-86.2401401;alt=-0.59,LocationLocal:north=-17.8475227356;east=-27.0961685181;down=-5.53390550613,Attitude:pitch=0.013640679419;yaw=-3.10829520226;roll=0.0104562388733,[0.06; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.031622774899,0.031622774899,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.515385019999,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_591,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194321;lon=-86.2401401;alt=249.89,LocationGlobalRelative:lat=41.5194321;lon=-86.2401401;alt=-0.59,LocationLocal:north=-17.8475227356;east=-27.0961685181;down=-5.53390550613,Attitude:pitch=0.013640679419;yaw=-3.10829520226;roll=0.0104562388733,[0.06; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.031622774899,0.031622774899,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.104132261,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_691,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194324;lon=-86.2401405;alt=249.9,LocationGlobalRelative:lat=41.5194324;lon=-86.2401405;alt=-0.58,LocationLocal:north=-17.8189430237;east=-27.122335434;down=-5.54244041443,Attitude:pitch=0.013640679419;yaw=-3.10829520226;roll=0.0104562388733,[0.08; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.031622774899,0.031622774899,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.205378049,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_791,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194324;lon=-86.2401405;alt=249.9,LocationGlobalRelative:lat=41.5194324;lon=-86.2401405;alt=-0.58,LocationLocal:north=-17.8189430237;east=-27.122335434;down=-5.54244041443,Attitude:pitch=0.0130463670939;yaw=-3.10811567307;roll=0.0105953002349,[0.08; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0640312358737,0.0640312358737,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.308974394,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_891,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194324;lon=-86.2401405;alt=249.9,LocationGlobalRelative:lat=41.5194324;lon=-86.2401405;alt=-0.58,LocationLocal:north=-17.8189430237;east=-27.122335434;down=-5.54244041443,Attitude:pitch=0.0130463670939;yaw=-3.10811567307;roll=0.0105953002349,[0.08; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0640312358737,0.0640312358737,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.413065058,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_991,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194324;lon=-86.2401405;alt=249.9,LocationGlobalRelative:lat=41.5194324;lon=-86.2401405;alt=-0.58,LocationLocal:north=-17.8189430237;east=-27.122335434;down=-5.54244041443,Attitude:pitch=0.0130463670939;yaw=-3.10811567307;roll=0.0105953002349,[0.08; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0640312358737,0.0640312358737,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.101259178,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_091,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194324;lon=-86.2401405;alt=249.9,LocationGlobalRelative:lat=41.5194324;lon=-86.2401405;alt=-0.58,LocationLocal:north=-17.8189430237;east=-27.122335434;down=-5.54244041443,Attitude:pitch=0.0130463670939;yaw=-3.10811567307;roll=0.0105953002349,[0.08; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0640312358737,0.0640312358737,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.202612307,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_191,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194324;lon=-86.2401405;alt=249.9,LocationGlobalRelative:lat=41.5194324;lon=-86.2401405;alt=-0.58,LocationLocal:north=-17.8189430237;east=-27.122335434;down=-5.54244041443,Attitude:pitch=0.0130463670939;yaw=-3.10811567307;roll=0.0105953002349,[0.08; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0640312358737,0.0640312358737,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.315087351,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_291,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0130463670939;yaw=-3.10811567307;roll=0.0105953002349,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0640312358737,0.0640312358737,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.418421786,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_391,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.52045344,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_492,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.624312755001,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_591,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.726869895,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_691,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.777537162,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_791,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.10127552,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_891,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.202872358,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-12_991,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.305111191,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_091,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.407611426,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_197,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.510191093,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_291,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.611917915,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_391,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519433;lon=-86.240141;alt=249.9,LocationGlobalRelative:lat=41.519433;lon=-86.240141;alt=-0.58,LocationLocal:north=-17.7448940277;east=-27.1651916504;down=-5.54218387604,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.11; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.714091878,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_491,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.240141;alt=249.89,LocationGlobalRelative:lat=41.5194329;lon=-86.240141;alt=-0.59,LocationLocal:north=-17.765171051;east=-27.1652145386;down=-5.53396129608,Attitude:pitch=0.0127977151424;yaw=-3.10823202133;roll=0.010602469556,[0.07; -0.04; 0.01],GPSInfo:fix=4;num_sat=11,0.121655248106,0.121655248106,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.818291857,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_591,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.240141;alt=249.89,LocationGlobalRelative:lat=41.5194329;lon=-86.240141;alt=-0.59,LocationLocal:north=-17.765171051;east=-27.1652145386;down=-5.53396129608,Attitude:pitch=0.0111684221774;yaw=-3.10821294785;roll=0.0100466785952,[0.07; -0.04; 0.01],GPSInfo:fix=4;num_sat=11,0.0608276240528,0.0608276240528,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.920112775,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_691,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.240141;alt=249.89,LocationGlobalRelative:lat=41.5194329;lon=-86.240141;alt=-0.59,LocationLocal:north=-17.765171051;east=-27.1652145386;down=-5.53396129608,Attitude:pitch=0.0111684221774;yaw=-3.10821294785;roll=0.0100466785952,[0.07; -0.04; 0.01],GPSInfo:fix=4;num_sat=11,0.0608276240528,0.0608276240528,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.023307834,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_791,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.240141;alt=249.89,LocationGlobalRelative:lat=41.5194329;lon=-86.240141;alt=-0.59,LocationLocal:north=-17.765171051;east=-27.1652145386;down=-5.53396129608,Attitude:pitch=0.0111684221774;yaw=-3.10821294785;roll=0.0100466785952,[0.07; -0.04; 0.01],GPSInfo:fix=4;num_sat=11,0.0608276240528,0.0608276240528,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.101042861,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_893,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.240141;alt=249.89,LocationGlobalRelative:lat=41.5194329;lon=-86.240141;alt=-0.59,LocationLocal:north=-17.765171051;east=-27.1652145386;down=-5.53396129608,Attitude:pitch=0.0111684221774;yaw=-3.10821294785;roll=0.0100466785952,[0.07; -0.04; 0.01],GPSInfo:fix=4;num_sat=11,0.0608276240528,0.0608276240528,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.203857609999,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-13_991,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.240141;alt=249.89,LocationGlobalRelative:lat=41.5194329;lon=-86.240141;alt=-0.59,LocationLocal:north=-17.765171051;east=-27.1652145386;down=-5.53396129608,Attitude:pitch=0.0111684221774;yaw=-3.10821294785;roll=0.0100466785952,[0.07; -0.04; 0.01],GPSInfo:fix=4;num_sat=11,0.0608276240528,0.0608276240528,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.306844287999,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-14_091,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194327;lon=-86.2401412;alt=249.86,LocationGlobalRelative:lat=41.5194327;lon=-86.2401412;alt=-0.62,LocationLocal:north=-17.7831325531;east=-27.18034935;down=-5.50941371918,Attitude:pitch=0.0103567186743;yaw=-3.10815167427;roll=0.0101362885907,[0.05; -0.04; 0.0],GPSInfo:fix=4;num_sat=11,0.0608276240528,0.0608276240528,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.412448022,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
