time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-20-49_981,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194205;lon=-86.2401238;alt=249.86,LocationGlobalRelative:lat=41.5194205;lon=-86.2401238;alt=1.44,LocationLocal:north=-1.22329080105;east=0.104539528489;down=0.91177457571,Attitude:pitch=0.0235285293311;yaw=-2.98016381264;roll=0.000590127892792,[0.1; 0.02; 0.01],GPSInfo:fix=4;num_sat=8,0.104403063655,0.104403063655,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0506403859999,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_480,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.631388546,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_580,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.734129778,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_680,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.842858462001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_780,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.944529396001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_882,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.102470947,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_980,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.153106356,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_080,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.255137099,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_180,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.356293088,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_280,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.457167669,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_380,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.559427813,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_480,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.661111726,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_580,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194155;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.5194155;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.0; 0.03; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.764142012999,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_681,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.77412331104;east=-0.0747823044658;down=0.905440032482,Attitude:pitch=0.0192899871618;yaw=-2.97362852097;roll=-0.000631745439023,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.867074127,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_780,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.971321244,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_880,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.180277556181,0.180277556181,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.074242964,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-52_980,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.175521703,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_085,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.277971485,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_180,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.379870568,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_280,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.481157252,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_382,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.582516906,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_480,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.683648186,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_580,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401258;alt=249.87,LocationGlobalRelative:lat=41.519416;lon=-86.2401258;alt=1.45,LocationLocal:north=-1.71994626522;east=-0.0684171766043;down=0.909963726997,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.04; 0.01; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.051006705,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_680,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401253;alt=249.85,LocationGlobalRelative:lat=41.519416;lon=-86.2401253;alt=1.43,LocationLocal:north=-1.72154426575;east=-0.0277950447053;down=0.920933008194,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.05; 0.02; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.153993547,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_781,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401253;alt=249.85,LocationGlobalRelative:lat=41.519416;lon=-86.2401253;alt=1.43,LocationLocal:north=-1.72154426575;east=-0.0277950447053;down=0.920933008194,Attitude:pitch=0.0206561926752;yaw=-2.97333788872;roll=0.000267652794719,[0.05; 0.02; -0.02],GPSInfo:fix=3;num_sat=8,0.358468949795,0.358468949795,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.256776998001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-53_880,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519416;lon=-86.2401253;alt=249.85,LocationGlobalRelative:lat=41.519416;lon=-86.2401253;alt=1.43,LocationLocal:north=-1.72154426575;east=-0.0277950447053;down=0.920933008194,Attitude:pitch=0.0207302551717;yaw=-2.97343540192;roll=0.000239970162511,[0.05; 0.02; -0.02],GPSInfo:fix=3;num_sat=8,0.0583095140755,0.0583095140755,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.360006377,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
