time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__14-23-03_010,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406092;alt=252.02,LocationGlobalRelative:lat=41.5194005;lon=-86.2406092;alt=-1.51,LocationLocal:north=-0.975295543671;east=-0.0768649280071;down=-0.262854069471,Attitude:pitch=0.058644503355;yaw=-2.22311472893;roll=0.00720455311239,[-0.05; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.0707106739283,0.0707106739283,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.24;current=None;level=None,True,1.204232454,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-04_310,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.408070225,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_409,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.510784372,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_509,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.615308103,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_610,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.717658966,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_709,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.822767441,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_810,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.925127022,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_910,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.0509521009999,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_010,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.152975497,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_109,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.254536515,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_210,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.356427942,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_310,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.458922449,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_410,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193997;lon=-86.2406091;alt=251.39,LocationGlobalRelative:lat=41.5193997;lon=-86.2406091;alt=-2.14,LocationLocal:north=-1.06002080441;east=-0.0683251023293;down=-0.199518486857,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.560555279,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_511,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.663057624,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_610,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0578705593944;yaw=-2.22490787506;roll=0.00697375880554,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=7,0.00999999977648,0.00999999977648,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.766037504,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_710,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=7,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.23;current=None;level=None,True,0.870726203,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_810,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.976875889,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-05_911,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.052235523,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_010,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.103033978,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_109,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.20492831,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_210,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.307236788,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_310,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.409729706,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_410,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406093;alt=251.37,LocationGlobalRelative:lat=41.5194005;lon=-86.2406093;alt=-2.16,LocationLocal:north=-0.979177474976;east=-0.0904073268175;down=-0.236119925976,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; -0.02; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.511367521,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_510,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194011;lon=-86.2406094;alt=251.35,LocationGlobalRelative:lat=41.5194011;lon=-86.2406094;alt=-2.18,LocationLocal:north=-0.911458432674;east=-0.0926975160837;down=-0.266202330589,Attitude:pitch=0.0580044612288;yaw=-2.22527170181;roll=0.00667123962194,[0.0; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.612939677,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_610,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194011;lon=-86.2406094;alt=251.35,LocationGlobalRelative:lat=41.5194011;lon=-86.2406094;alt=-2.18,LocationLocal:north=-0.911458432674;east=-0.0926975160837;down=-0.266202330589,Attitude:pitch=0.0582420378923;yaw=-2.22541642189;roll=0.00635816529393,[0.0; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.717324094,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_710,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194011;lon=-86.2406094;alt=251.35,LocationGlobalRelative:lat=41.5194011;lon=-86.2406094;alt=-2.18,LocationLocal:north=-0.911458432674;east=-0.0926975160837;down=-0.266202330589,Attitude:pitch=0.0582420378923;yaw=-2.22541642189;roll=0.00635816529393,[0.0; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.078102491796,0.078102491796,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.820461667,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_810,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194011;lon=-86.2406094;alt=251.35,LocationGlobalRelative:lat=41.5194011;lon=-86.2406094;alt=-2.18,LocationLocal:north=-0.911458432674;east=-0.0926975160837;down=-0.266202330589,Attitude:pitch=0.0582420378923;yaw=-2.22541642189;roll=0.00635816529393,[0.0; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.078102491796,0.078102491796,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,0.923100396,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-06_910,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194011;lon=-86.2406094;alt=251.35,LocationGlobalRelative:lat=41.5194011;lon=-86.2406094;alt=-2.18,LocationLocal:north=-0.911458432674;east=-0.0926975160837;down=-0.266202330589,Attitude:pitch=0.0582420378923;yaw=-2.22541642189;roll=0.00635816529393,[0.0; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.078102491796,0.078102491796,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.228;current=None;level=None,True,1.028695136,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
