time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-04-08_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.104187250137329; 'x': 0.010233262553811073; 'z': 0.008485267870128155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401234; 'x': 41.5194275; 'z': 0.13},{'y': 0.0; 'x': -0.02; 'z': -0.01},182,GUIDED
2017_07_18__15-04-11_568,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_768,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_868,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_968,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_068,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_168,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_268,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.130384042859,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.130384042859,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_368,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_468,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_568,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_768,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_868,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-12_968,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_068,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_168,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.2401242; 'x': 41.519433; 'z': 0.15},{'y': -0.07; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_268,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.102097988128662; 'x': 0.014366501942276955; 'z': 0.010942860506474972},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_368,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.133416637778,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.133416637778,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_468,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_568,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_768,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_868,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-13_968,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-14_067,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-14_168,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-14_268,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-14_368,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.240124; 'x': 41.5194325; 'z': 0.11},{'y': -0.04; 'x': 0.04; 'z': -0.02},182,GUIDED
2017_07_18__15-04-14_468,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0447213575244,{'y': -3.1022627353668213; 'x': 0.012679852545261383; 'z': 0.009772232733666897},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0447213575244,PHYS_2,{'y': -86.2401244; 'x': 41.5194324; 'z': 0.11},{'y': -0.03; 'x': 0.04; 'z': -0.01},182,GUIDED
2017_07_18__15-04-14_568,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0860232487321,{'y': -3.102492332458496; 'x': 0.012187441810965538; 'z': 0.009583921171724796},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0860232487321,PHYS_2,{'y': -86.2401244; 'x': 41.5194324; 'z': 0.11},{'y': -0.03; 'x': 0.04; 'z': -0.01},182,GUIDED
