time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-01-10_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1081156730651855; 'x': 0.013046367093920708; 'z': 0.010595300234854221},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401405; 'x': 41.5194324; 'z': -0.58},{'y': -0.03; 'x': 0.08; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1081156730651855; 'x': 0.013046367093920708; 'z': 0.010595300234854221},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401405; 'x': 41.5194324; 'z': -0.58},{'y': -0.03; 'x': 0.08; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1081156730651855; 'x': 0.013046367093920708; 'z': 0.010595300234854221},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401405; 'x': 41.5194324; 'z': -0.58},{'y': -0.03; 'x': 0.08; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1081156730651855; 'x': 0.013046367093920708; 'z': 0.010595300234854221},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_791,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_891,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-12_991,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-13_091,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-13_196,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-13_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-13_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.519433; 'z': -0.58},{'y': -0.05; 'x': 0.11; 'z': 0.0},181,GUIDED
2017_07_18__15-01-13_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.121655248106,{'y': -3.108232021331787; 'x': 0.01279771514236927; 'z': 0.010602469556033611},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.121655248106,PHYS_2,{'y': -86.240141; 'x': 41.5194329; 'z': -0.59},{'y': -0.04; 'x': 0.07; 'z': 0.01},181,GUIDED
2017_07_18__15-01-13_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': -3.108212947845459; 'x': 0.011168422177433968; 'z': 0.010046678595244884},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.240141; 'x': 41.5194329; 'z': -0.59},{'y': -0.04; 'x': 0.07; 'z': 0.01},181,GUIDED
2017_07_18__15-01-13_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': -3.108212947845459; 'x': 0.011168422177433968; 'z': 0.010046678595244884},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.240141; 'x': 41.5194329; 'z': -0.59},{'y': -0.04; 'x': 0.07; 'z': 0.01},181,GUIDED
2017_07_18__15-01-13_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': -3.108212947845459; 'x': 0.011168422177433968; 'z': 0.010046678595244884},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.240141; 'x': 41.5194329; 'z': -0.59},{'y': -0.04; 'x': 0.07; 'z': 0.01},181,GUIDED
2017_07_18__15-01-13_892,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': -3.108212947845459; 'x': 0.011168422177433968; 'z': 0.010046678595244884},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.240141; 'x': 41.5194329; 'z': -0.59},{'y': -0.04; 'x': 0.07; 'z': 0.01},181,GUIDED
2017_07_18__15-01-13_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': -3.108212947845459; 'x': 0.011168422177433968; 'z': 0.010046678595244884},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.240141; 'x': 41.5194329; 'z': -0.59},{'y': -0.04; 'x': 0.07; 'z': 0.01},181,GUIDED
2017_07_18__15-01-14_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0608276240528,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0608276240528,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401412; 'x': 41.5194327; 'z': -0.62},{'y': -0.04; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.10815167427063; 'x': 0.010356718674302101; 'z': 0.010136288590729237},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401409; 'x': 41.5194327; 'z': -0.63},{'y': -0.03; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-14_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.108126163482666; 'x': 0.009987687692046165; 'z': 0.009747772477567196},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401409; 'x': 41.5194327; 'z': -0.63},{'y': -0.03; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_091,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.108126163482666; 'x': 0.009987687692046165; 'z': 0.009747772477567196},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401409; 'x': 41.5194327; 'z': -0.63},{'y': -0.03; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_191,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.108126163482666; 'x': 0.009987687692046165; 'z': 0.009747772477567196},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401409; 'x': 41.5194327; 'z': -0.63},{'y': -0.03; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.108126163482666; 'x': 0.009987687692046165; 'z': 0.009747772477567196},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401409; 'x': 41.5194327; 'z': -0.63},{'y': -0.03; 'x': 0.05; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.108126163482666; 'x': 0.009987687692046165; 'z': 0.009747772477567196},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0424264073372,{'y': -3.1081314086914062; 'x': 0.009731385856866837; 'z': 0.00949323084205389},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0424264073372,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0943398103118,{'y': -3.1081314086914062; 'x': 0.009731385856866837; 'z': 0.00949323084205389},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0943398103118,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_690,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0943398103118,{'y': -3.1081314086914062; 'x': 0.009731385856866837; 'z': 0.00949323084205389},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0943398103118,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0943398103118,{'y': -3.1081314086914062; 'x': 0.009731385856866837; 'z': 0.00949323084205389},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0943398103118,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0943398103118,{'y': -3.1081314086914062; 'x': 0.009731385856866837; 'z': 0.00949323084205389},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0943398103118,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
2017_07_18__15-01-15_991,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0943398103118,{'y': -3.1081314086914062; 'x': 0.009731385856866837; 'z': 0.00949323084205389},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0943398103118,PHYS_2,{'y': -86.2401405; 'x': 41.5194329; 'z': -0.62},{'y': -0.01; 'x': 0.04; 'z': 0.0},181,GUIDED
